Id,Price
4567,161080.82449143284
5925,124801.67138731119
960,170849.95659970967
3848,119760.27538489034
746,211671.87436990906
868,315399.4621265486
672,117332.31248142986
2471,225286.05951877957
4510,129571.7387101637
8354,261317.11872204303
6393,156237.78552205302
13270,234102.33300324128
5250,310313.65876161563
16751,142528.90133569352
11404,114156.45370255673
10588,321006.83815782855
14925,216521.62013196928
6791,204203.15542137428
16097,184270.44628681138
16428,376569.79890684376
6945,329383.17092034564
3190,183700.93082393217
15709,346020.0534597291
13155,136893.66076217237
7675,212597.84968079242
14686,235793.46314876436
609,147779.30971567592
11155,158006.4610804346
10869,226733.90946349854
15742,193017.407277749
9245,194396.69066763943
3340,156560.01221450893
2359,283263.4567782077
8070,197585.92343778792
13707,130031.51539418755
16079,282417.9791634144
15937,405313.4828691892
14090,198535.87845848626
9008,194054.62140726595
16384,168355.12497001103
11657,234947.79925131943
13151,175182.7359594804
8990,168684.938746133
11857,173422.30907704902
1565,152167.46962576514
8174,104997.57503460278
9247,238698.21905515698
10478,178209.86343179384
15509,146140.7519552323
8306,265283.6295056237
6642,182498.82376295852
7472,197865.87834721408
15989,131860.80357160573
13682,154362.4171119798
163,273547.43286953814
7076,173596.77002331236
7478,313734.4766580424
3029,184840.88857425615
1814,132737.94573430796
10057,125718.0898327179
15100,209333.2673631121
12694,214443.6555691452
6291,194356.23661444578
12603,163814.86890055813
3218,196577.07062612943
13456,126990.50256643261
10170,226185.62351761493
4530,252955.95512949245
13329,172243.67128943806
4820,156836.08336198545
10896,185860.42880052462
13416,102669.0394001546
2701,236079.6121364412
11265,306055.92922569194
9189,267925.56445284485
1858,215439.66258952476
14536,211477.15066999476
6199,292686.0527010028
14730,158302.23962249208
7510,233374.81543413355
15505,167140.52738457645
7446,192976.3001958062
14016,209183.71656833342
14113,106082.70664851341
8721,315275.72245599324
6193,302757.8881162825
5717,177065.79096351142
5427,292031.79993018927
9520,443590.4947421234
6869,111293.94957704937
1658,160182.35462885545
6639,241915.79224043124
6283,198023.33108109192
6257,128850.34305371363
15235,191366.86653914364
902,323952.0030815969
8932,168524.93168804684
16469,399626.2899881691
2825,267776.6044338516
6450,428739.09851693554
11366,176744.5667623665
3801,370736.1575961891
11385,206690.4028511774
1079,197578.98833696515
3202,224743.36600323688
676,205622.64039499956
6185,281959.52748974215
7730,157517.0350855645
2573,167158.76099712693
10978,200529.2606444389
10962,278332.9637190774
8870,209880.77996225687
8496,189044.70355514347
5517,137306.6818774549
927,172411.42982260653
13675,202591.64165035865
1499,218483.0900166013
15536,308314.4343232159
8602,321370.0119918366
12137,492253.4153220628
9865,252252.32872997993
16353,286086.29384690174
15908,219589.10995111003
3944,175545.4978597727
10359,203654.55298126827
15158,226243.22715688776
3259,225644.05844891313
7220,314704.8660132799
13843,194162.88143612837
16736,179740.1086748507
702,244045.08779411772
16401,161289.28370006641
12134,190871.29920907412
6918,253804.27333567519
11792,127122.94345736438
3798,95052.53728447304
10395,119818.64215287694
11099,146269.6410249718
7090,198934.80060553996
11260,197266.7525866855
9647,237203.02870455434
2903,369220.3657833696
2071,186008.06795697362
8604,181429.4895948197
9346,228194.68905222346
3945,223185.88763614235
3420,141666.5736118632
10842,127208.85688196534
725,166314.04048485795
13931,193813.96947879763
16330,222009.92947182368
9066,406583.9064976105
3326,308209.1238985903
1556,230038.38468986
6579,94196.6369322583
13877,138742.99701803311
9857,353602.4443908311
7302,272347.6252844336
5684,190277.4992000831
6513,232384.19506451217
11342,116481.53828560263
16561,229142.85572273476
6885,171497.41720072317
9308,169086.35516471
2559,215704.8533566657
6648,176360.746211934
15260,185574.4679179364
5113,202563.18656447242
16492,189775.08725559094
12034,267277.77654182474
7248,218519.89706000884
2171,200443.7359680466
10594,160344.7206478866
13241,220072.5948638879
7032,127116.38461370682
4884,171798.27328788553
903,223807.25582492424
162,182267.88152093158
6566,294168.2841053094
8249,170299.57044821736
13106,150203.95820781618
256,115868.93812851273
7976,171352.24174789898
8575,176570.45913625634
7591,279235.8683488856
3204,217959.02280744645
15804,166690.99099915274
1525,325403.9942248909
9038,199213.10474280707
13628,187487.43808278604
10016,188734.04034943104
10208,216035.34501278985
2008,196864.57811225724
13029,207062.1842661413
5099,129284.36803158233
9923,314825.459434988
9461,93809.90857454414
11086,195198.90733598793
15057,271742.15082368255
10689,195147.3634828432
2053,197463.09296654153
16630,165968.95376054713
4985,166937.10001643526
13881,220213.54889902472
13225,189775.08725559094
5779,68852.35272243191
